Part Number,Part Description,Vendor Name,Customer Part Number,Vendor Part Number,EANUPC Code,Plant,Vendor Number,Size,Weight,Volume,Unit,Category ID,Availability Flag,Available Quantity,Backlog Information,Backlog ETA,License Flag,BOM Flag,Warranty Flag,Bulk Freight Flag,Material Long Description,Length,Width,Height,Dimension Unit,Weight Unit,Volume Unit,Category,Material Creation Reason code,Media Code,Material Language Code,Substitute Material,Superseded Material,Manufacturer Vendor Number,Sub-Category,Product Family,Purchasing Vendor,Material Change Code,Action code,Price Status,New Material Flag,Vendor Subrange,Case Qty,Pallet Qty,Direct Order identifier,Material Status,Discontinued / Obsoleted date,Release Date,Fulfilment type,Music Copyright Fees,Recycling Fees,Document Copyright Fees,Battery Fees,Tax Percent,Discount in Percent,Customer Reservation Number,Customer Reservation Qty,Agreement ID,Level ID,Period,Points,Company code,Company code Currency,Customer Currency Code,Customer Price Change Flag,Substitute Flag,Availability (Local Stock),Availability (Central Stock),Creation Reason Type,Creation Reason Value,Plant 01 Available Quantity,Plant 02 Available Quantity,VAT Rate,Product Group,MRP Controller,Shipping Country,Local Stock Backlog Quantity,Local Stock Backlog ETA,Central Stock Backlog Quantity,Central Stock Backlog ETA,Total Fees,Category Description,Sub-Category Description,Category ID Description
4937302,EB 840G7 I7 16G 512G 1000 IR SV4 4G W10P,HP,,1W7R4PA,,NZ01,500066,,0.999,0,EA,1013,,0,26,20200915,,,,,ELITEBOOK 840 G7 I7-10810U 6 CORE VPRO FHD (1920X1080) 1000N UMA UHD IR CAMERA SV REFLECT 16GB 512GB NVME INTEL XMM 7360 LTE WINDOWS 10 PRO,0,0,0,CM,KG,L,0,C,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,C,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937304,EB 830G7 I5NV 8G 256G 250 IR W10P,HP,,1X7G4PA,,NZ01,500066,,0.999,0,EA,1013,,45,0,,,,,,ELITEBOOK 830 G7 I5-10210U 4 CORE FHD (1920X1080) 250N UMA UHD IR CAMERA 8GB 256GB NVME WINDOWS 10 PRO,0,0,0,CM,KG,L,0,C,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,C,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,45,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937305,EB 830G7 I5NV 8G 256G 250 IR 4G W10P,HP,,1X7G5PA,195123000000,NZ01,500066,,0.999,0,EA,1013,,3,0,,,,,,ELITEBOOK 830 G7 I5-10210U 4 CORE FHD (1920X1080) 250N UMA UHD IR CAMERA 8GB 256GB NVME INTEL XMM 7360 LTE WINDOWS 10 PRO,0,0,0,CM,KG,L,0,C,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,C,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,3,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937306,EB 830G7 I5 16G 256G 250 IR W10P,HP,,1X7G6PA,,NZ01,500066,,0.999,0,EA,1013,,60,0,,,,,,ELITEBOOK 830 G7 I5-10310U 4 CORE VPRO FHD (1920X1080) 250N UMA UHD IR CAMERA 16GB 256GB NVME WINDOWS 10 PRO,0,0,0,CM,KG,L,0,N,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,N,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,60,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937307,EB 830G7 I5 16G 256G 250 IR 4G W10P,HP,,1X7G7PA,,NZ01,500066,,0.999,0,EA,1013,,0,0,,,,,,ELITEBOOK 830 G7 I5-10310U 4 CORE VPRO FHD (1920X1080) 250N UMA UHD IR CAMERA 16GB 256GB NVME INTEL XMM 7360 LTE WINDOWS 10 PRO,0,0,0,CM,KG,L,0,N,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,N,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937308,EB 830G7 I5 16G 256G 1000 IR SV4 W10P,HP,,1X7G8PA,,NZ01,500066,,0.999,0,EA,1013,,0,0,,,,,,ELITEBOOK 830 G7 I5-10310U 4 CORE VPRO FHD (1920X1080) 1000N UMA UHD IR CAMERA SV REFLECT 16GB 256GB NVME WINDOWS 10 PRO,0,0,0,CM,KG,L,0,N,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,N,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937309,EB 830G7 I5 16G 256G 1000 IR SV4 4G W10P,HP,,1X7G9PA,,NZ01,500066,,0.999,0,EA,1013,,1,0,,,,,,ELITEBOOK 830 G7 I5-10310U 4 CORE VPRO FHD (1920X1080) 250N UMA UHD IR CAMERA 16GB 256GB NVME INTEL XMM 7360 LTE WINDOWS 10 PRO,0,0,0,CM,KG,L,0,N,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,N,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,1,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937311,EB X360 830G7 I5NV 8G 256G 4G W10P PEN,HP,,1X7H2PA,,NZ01,500066,,1.999,0.001,EA,1013,,6,0,,,,,,ELITEBOOK X360 830 G7 I5-10210U 4 CORE FHD (1920X1080) BRIGHTVIEW 250N UMA UHD TOUCH PEN IR CAMERA 8GB 256GB NVME INTEL XMM 7360 LTE WINDOWS 10 PRO,1,1,1,CM,KG,L,0,C,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,C,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,X,,0,0,STANDARD,STANDARD,6,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937312,EB X360 830G7 I5 16G 256G IR W10P PEN,HP,,1X7H3PA,195123000000,NZ01,500066,,0.999,0,EA,1013,,20,0,,,,,,ELITEBOOK X360 830 G7 I5-10310U 4 CORE VPRO FHD (1920X1080) BRIGHTVIEW 250N UMA UHD TOUCH PEN IR CAMERA 16GB 256GB NVME WINDOWS 10 PRO,0,0,0,CM,KG,L,0,C,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,C,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,X,,0,0,STANDARD,STANDARD,20,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
4937314,EB 850G7 I5NV 8G 256G 250 IR W10P,HP,,1X7H5PA,,NZ01,500066,,0.999,0,EA,1013,,108,0,,,,,,ELITEBOOK 850 G7 I5-10210U 4 CORE FHD (1920X1080) 250N UMA UHD IR CAMERA 8GB 256GB NVME WINDOWS 10 PRO,0,0,0,CM,KG,L,0,N,,,,,500066,103,HP Computers Notebooks & Tablets,103300,NEW,NEW,N,,450780,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,108,0,,,Z01,NZ,0,,0,,0,Computers,Notebooks & Tablets,Notebooks
